Date,Location,Positive,Tested,Discharged,Fatal,Vaccinated_1st,Vaccinated_2nd,Vaccinated_3rd
2020-02-06,Domestic,16,132.0,4.0,0,,,
2020-02-06,Returnee,9,566.0,0.0,0,,,
2020-02-07,Domestic,16,151.0,4.0,0,,,
2020-02-07,Returnee,9,566.0,0.0,0,,,
2020-02-10,Domestic,16,174.0,9.0,0,,,
2020-02-10,Returnee,10,764.0,0.0,0,,,
2020-02-12,Domestic,16,190.0,10.0,0,,,
2020-02-12,Returnee,12,764.0,0.0,0,,,
2020-02-13,Domestic,17,200.0,11.0,0,,,
2020-02-13,Returnee,12,764.0,0.0,0,,,
2020-02-14,Domestic,21,214.0,11.0,0,,,
2020-02-14,Returnee,12,764.0,1.0,0,,,
2020-02-17,Domestic,46,487.0,13.0,1,,,
2020-02-17,Returnee,13,764.0,3.0,0,,,
2020-02-18,Domestic,53,523.0,12.0,1,,,
2020-02-18,Returnee,13,764.0,4.0,0,,,
2020-02-19,Domestic,60,532.0,14.0,1,,,
2020-02-19,Returnee,13,764.0,4.0,0,,,
2020-02-20,Domestic,70,603.0,16.0,1,,,
2020-02-20,Returnee,14,829.0,4.0,0,,,
2020-02-21,Domestic,79,693.0,16.0,1,,,
2020-02-21,Returnee,14,829.0,4.0,0,,,
2020-02-22,Domestic,90,778.0,17.0,1,,,
2020-02-22,Returnee,15,829.0,7.0,0,,,
2020-02-23,Domestic,114,874.0,17.0,1,,,
2020-02-23,Returnee,15,829.0,7.0,0,,,
2020-02-24,Domestic,126,913.0,17.0,1,,,
2020-02-24,Returnee,15,829.0,9.0,0,,,
2020-02-25,Domestic,140,1017.0,9.0,1,,,
2020-02-25,Returnee,15,829.0,9.0,0,,,
2020-02-26,Domestic,149,1061.0,23.0,1,,,
2020-02-26,Returnee,15,829.0,9.0,0,,,
2020-02-27,Domestic,171,1229.0,30.0,3,,,
2020-02-27,Returnee,15,829.0,10.0,0,,,
2020-02-28,Domestic,195,1380.0,30.0,4,,,
2020-02-28,Returnee,15,829.0,11.0,0,,,
2020-02-29,Domestic,215,1510.0,31.0,5,,,
2020-02-29,Returnee,15,829.0,15.0,0,,,
2020-03-01,Domestic,224,1688.0,31.0,5,,,
2020-03-01,Returnee,15,829.0,15.0,0,,,
2020-03-02,Domestic,239,1784.0,32.0,6,,,
2020-03-02,Returnee,15,829.0,15.0,0,,,
2020-03-03,Domestic,253,1855.0,35.0,6,,,
2020-03-03,Returnee,15,829.0,15.0,0,,,
2020-03-04,Domestic,269,5690.0,37.0,6,,,
2020-03-04,Returnee,15,829.0,15.0,0,,,
2020-03-05,Domestic,302,5948.0,38.0,6,,,
2020-03-05,Airport,1,,0.0,0,,,
2020-03-05,Returnee,15,829.0,15.0,0,,,
2020-03-06,Domestic,333,6647.0,56.0,6,,,
2020-03-06,Airport,1,,0.0,0,,,
2020-03-06,Returnee,15,829.0,15.0,0,,,
2020-03-07,Domestic,392,7200.0,63.0,6,,,
2020-03-07,Airport,1,,0.0,0,,,
2020-03-07,Returnee,15,829.0,15.0,0,,,
2020-03-08,Domestic,439,7347.0,67.0,6,,,
2020-03-08,Airport,1,,0.0,0,,,
2020-03-08,Returnee,15,829.0,15.0,0,,,
2020-03-09,Domestic,472,7457.0,88.0,7,,,
2020-03-09,Airport,1,,0.0,0,,,
2020-03-09,Returnee,15,829.0,15.0,0,,,
2020-03-10,Domestic,498,8771.0,89.0,9,,,
2020-03-10,Airport,1,,0.0,0,,,
2020-03-10,Returnee,15,829.0,15.0,0,,,
2020-03-11,Domestic,552,9195.0,103.0,12,,,
2020-03-11,Airport,1,,0.0,0,,,
2020-03-11,Returnee,15,829.0,15.0,0,,,
2020-03-12,Domestic,608,9376.0,108.0,15,,,
2020-03-12,Airport,1,,0.0,0,,,
2020-03-12,Returnee,15,829.0,15.0,0,,,
2020-03-13,Domestic,659,11231.0,120.0,19,,,
2020-03-13,Airport,2,,0.0,0,,,
2020-03-13,Returnee,15,829.0,15.0,0,,,
2020-03-14,Domestic,699,12090.0,129.0,21,,,
2020-03-14,Airport,2,,0.0,0,,,
2020-03-14,Returnee,15,829.0,15.0,0,,,
2020-03-15,Domestic,762,12197.0,142.0,22,,,
2020-03-15,Airport,3,,0.0,0,,,
2020-03-15,Returnee,15,829.0,15.0,0,,,
2020-03-16,Domestic,794,12239.0,149.0,24,,,
2020-03-16,Airport,5,,0.0,0,,,
2020-03-16,Returnee,15,829.0,15.0,0,,,
2020-03-17,Domestic,809,12989.0,156.0,28,,,
2020-03-17,Airport,5,,0.0,0,,,
2020-03-17,Returnee,15,829.0,15.0,0,,,
2020-03-18,Domestic,853,13192.0,176.0,29,,,
2020-03-18,Airport,5,,0.0,0,,,
2020-03-18,Returnee,15,829.0,15.0,0,,,
2020-03-19,Domestic,892,14072.0,200.0,31,,,
2020-03-19,Airport,7,,0.0,0,,,
2020-03-19,Returnee,15,829.0,15.0,0,,,
2020-03-20,Domestic,928,18015.0,212.0,33,,,
2020-03-20,Airport,7,,0.0,0,,,
2020-03-20,Returnee,15,829.0,15.0,0,,,
2020-03-21,Domestic,981,18134.0,217.0,35,,,
2020-03-21,Airport,11,1137.0,0.0,0,,,
2020-03-21,Returnee,15,829.0,15.0,0,,,
2020-03-22,Domestic,1015,18226.0,257.0,36,,,
2020-03-22,Airport,16,1173.0,0.0,0,,,
2020-03-22,Returnee,15,829.0,15.0,0,,,
2020-03-23,Domestic,1057,18322.0,260.0,41,,,
2020-03-23,Airport,17,1189.0,0.0,0,,,
2020-03-23,Returnee,15,829.0,15.0,0,,,
2020-03-24,Domestic,1095,22184.0,285.0,42,,,
2020-03-24,Airport,18,1417.0,1.0,0,,,
2020-03-24,Returnee,15,829.0,15.0,0,,,
2020-03-25,Domestic,1160,21266.0,294.0,43,,,
2020-03-25,Airport,18,1426.0,1.0,0,,,
2020-03-25,Returnee,15,829.0,15.0,0,,,
2020-03-26,Domestic,1254,22858.0,343.0,45,,,
2020-03-26,Airport,23,1484.0,1.0,0,,,
2020-03-26,Returnee,15,829.0,15.0,0,,,
2020-03-27,Domestic,1349,24663.0,356.0,46,,,
2020-03-27,Airport,23,1513.0,1.0,0,,,
2020-03-27,Returnee,15,829.0,15.0,0,,,
2020-03-28,Domestic,1453,26105.0,388.0,49,,,
2020-03-28,Airport,31,1530.0,1.0,0,,,
2020-03-28,Returnee,15,829.0,15.0,0,,,
2020-03-29,Domestic,1647,26401.0,408.0,52,,,
2020-03-29,Airport,31,1530.0,1.0,0,,,
2020-03-29,Returnee,15,829.0,15.0,0,,,
2020-03-30,Domestic,1820,26607.0,408.0,54,,,
2020-03-30,Airport,31,1530.0,1.0,0,,,
2020-03-30,Returnee,15,829.0,15.0,0,,,
2020-03-31,Domestic,1887,30088.0,408.0,56,,,
2020-03-31,Airport,51,1580.0,1.0,0,,,
2020-03-31,Returnee,15,829.0,15.0,0,,,
2020-04-01,Domestic,2107,32002.0,456.0,57,,,
2020-04-01,Airport,56,1677.0,1.0,0,,,
2020-04-01,Returnee,15,829.0,15.0,0,,,
2020-04-02,Domestic,2306,32002.0,489.0,60,,,
2020-04-02,Airport,60,1679.0,1.0,0,,,
2020-04-02,Returnee,15,829.0,15.0,0,,,
2020-04-03,Domestic,2541,36687.0,498.0,63,,,
2020-04-03,Airport,61,1930.0,1.0,0,,,
2020-04-03,Returnee,15,829.0,15.0,0,,,
2020-04-04,Domestic,2855,39992.0,559.0,69,,,
2020-04-04,Airport,65,2061.0,1.0,0,,,
2020-04-04,Returnee,15,829.0,15.0,0,,,
2020-04-05,Domestic,3191,40263.0,568.0,70,,,
2020-04-05,Airport,65,3547.0,1.0,0,,,
2020-04-05,Returnee,15,829.0,15.0,0,,,
2020-04-06,Domestic,3569,40481.0,575.0,73,,,
2020-04-06,Airport,70,4862.0,2.0,0,,,
2020-04-06,Returnee,15,829.0,15.0,0,,,
2020-04-07,Domestic,3817,48357.0,605.0,80,,,
2020-04-07,Airport,74,6125.0,2.0,0,,,
2020-04-07,Returnee,15,829.0,15.0,0,,,
2020-04-08,Domestic,4168,52901.0,615.0,81,,,
2020-04-08,Airport,74,7768.0,2.0,0,,,
2020-04-08,Returnee,15,829.0,15.0,0,,,
2020-04-09,Domestic,4667,54284.0,668.0,85,,,
2020-04-09,Airport,86,9274.0,2.0,0,,,
2020-04-09,Returnee,15,829.0,15.0,0,,,
2020-04-10,Domestic,5246,57125.0,697.0,88,,,
2020-04-10,Airport,86,10817.0,2.0,0,,,
2020-04-10,Returnee,15,829.0,15.0,0,,,
2020-04-11,Domestic,5902,61991.0,745.0,94,,,
2020-04-11,Airport,88,12071.0,2.0,0,,,
2020-04-11,Returnee,15,829.0,15.0,0,,,
2020-04-12,Domestic,6616,63132.0,767.0,98,,,
2020-04-12,Airport,117,13420.0,2.0,0,,,
2020-04-12,Returnee,15,829.0,15.0,0,,,
2020-04-13,Domestic,7123,63132.0,782.0,102,,,
2020-04-13,Airport,117,14741.0,2.0,0,,,
2020-04-13,Returnee,15,829.0,15.0,0,,,
2020-04-14,Domestic,7509,72801.0,836.0,109,,,
2020-04-14,Airport,121,15921.0,2.0,0,,,
2020-04-14,Returnee,15,829.0,15.0,0,,,
2020-04-15,Domestic,7964,76425.0,884.0,119,,,
2020-04-15,Airport,121,16982.0,2.0,0,,,
2020-04-15,Returnee,15,829.0,15.0,0,,,
2020-04-16,Domestic,8442,81825.0,918.0,136,,,
2020-04-16,Airport,125,18049.0,2.0,0,,,
2020-04-16,Returnee,15,829.0,15.0,0,,,
2020-04-17,Domestic,9027,86800.0,995.0,148,,,
2020-04-17,Airport,125,18743.0,2.0,0,,,
2020-04-17,Returnee,15,829.0,15.0,0,,,
2020-04-18,Domestic,9654,91050.0,1052.0,154,,,
2020-04-18,Airport,126,19446.0,2.0,0,,,
2020-04-18,Returnee,15,829.0,15.0,0,,,
2020-04-19,Domestic,10219,91695.0,1142.0,161,,,
2020-04-19,Airport,127,20292.0,2.0,0,,,
2020-04-19,Returnee,15,829.0,15.0,0,,,
2020-04-20,Domestic,10608,94826.0,1222.0,171,,,
2020-04-20,Airport,128,21070.0,2.0,0,,,
2020-04-20,Returnee,15,829.0,15.0,0,,,
2020-04-21,Domestic,10974,101818.0,1339.0,186,,,
2020-04-21,Airport,130,21903.0,2.0,0,,,
2020-04-21,Returnee,15,829.0,15.0,0,,,
2020-04-22,Domestic,11350,107430.0,2023.0,277,,,
2020-04-22,Airport,131,22328.0,2.0,0,,,
2020-04-22,Returnee,15,829.0,15.0,0,,,
2020-04-23,Domestic,11772,112108.0,2391.0,287,,,
2020-04-23,Airport,132,23046.0,2.0,0,,,
2020-04-23,Returnee,15,829.0,15.0,0,,,
2020-04-24,Domestic,12240,117367.0,2519.0,317,,,
2020-04-24,Airport,133,23404.0,2.0,0,,,
2020-04-24,Returnee,15,829.0,15.0,0,,,
2020-04-25,Domestic,12681,122700.0,2645.0,334,,,
2020-04-25,Airport,133,23925.0,2.0,0,,,
2020-04-25,Returnee,15,829.0,15.0,0,,,
2020-04-26,Domestic,13031,123633.0,2798.0,348,,,
2020-04-26,Airport,136,24612.0,2.0,0,,,
2020-04-26,Returnee,15,829.0,15.0,0,,,
2020-04-27,Domestic,13232,124456.0,2888.0,351,,,
2020-04-27,Airport,138,25407.0,2.0,0,,,
2020-04-27,Returnee,15,829.0,15.0,0,,,
2020-04-28,Domestic,13422,133578.0,3170.0,376,,,
2020-04-28,Airport,139,26138.0,2.0,0,,,
2020-04-28,Returnee,15,829.0,15.0,0,,,
2020-04-29,Domestic,13695,136695.0,3357.0,389,,,
2020-04-29,Airport,142,26731.0,2.0,0,,,
2020-04-29,Returnee,15,829.0,15.0,0,,,
2020-04-30,Domestic,13929,137338.0,3449.0,415,,,
2020-04-30,Airport,144,27442.0,2.0,0,,,
2020-04-30,Returnee,15,829.0,15.0,0,,,
2020-05-01,Domestic,14120,145243.0,3964.0,432,,,
2020-05-01,Airport,146,28078.0,2.0,0,,,
2020-05-01,Returnee,15,829.0,15.0,0,,,
2020-05-02,Domestic,14383,152029.0,4194.0,458,,,
2020-05-02,Airport,146,28669.0,2.0,0,,,
2020-05-02,Returnee,15,829.0,15.0,0,,,
2020-05-03,Domestic,14677,153047.0,4368.0,492,,,
2020-05-03,Airport,147,29375.0,2.0,0,,,
2020-05-03,Returnee,15,829.0,15.0,0,,,
2020-05-04,Domestic,14895,153581.0,4479.0,510,,,
2020-05-04,Airport,147,30176.0,2.0,0,,,
2020-05-04,Returnee,15,829.0,15.0,0,,,
2020-05-05,Domestic,15069,154646.0,4570.0,521,,,
2020-05-05,Airport,147,30868.0,2.0,0,,,
2020-05-05,Returnee,15,829.0,15.0,0,,,
2020-05-06,Domestic,15192,156866.0,4901.0,543,,,
2020-05-06,Airport,147,31232.0,2.0,0,,,
2020-05-06,Returnee,15,829.0,15.0,0,,,
2020-05-07,Domestic,15300,157563.0,5129.0,551,,,
2020-05-07,Airport,148,31638.0,2.0,0,,,
2020-05-07,Returnee,15,829.0,15.0,0,,,
2020-05-08,Domestic,15382,169546.0,5889.0,557,,,
2020-05-08,Airport,150,31638.0,2.0,0,,,
2020-05-08,Returnee,15,829.0,15.0,0,,,
2020-05-09,Domestic,15483,179043.0,8110.0,600,,,
2020-05-09,Airport,151,32125.0,2.0,0,,,
2020-05-09,Returnee,15,829.0,15.0,0,,,
2020-05-10,Domestic,15581,180478.0,8276.0,613,,,
2020-05-10,Airport,151,32949.0,2.0,0,,,
2020-05-10,Returnee,15,829.0,15.0,0,,,
2020-05-11,Domestic,15630,183845.0,8514.0,621,,,
2020-05-11,Airport,153,33530.0,2.0,0,,,
2020-05-11,Returnee,15,829.0,15.0,0,,,
2020-05-12,Domestic,15706,188646.0,8903.0,643,,,
2020-05-12,Airport,153,34174.0,2.0,0,,,
2020-05-12,Returnee,15,829.0,15.0,0,,,
2020-05-13,Domestic,15854,188031.0,9851.0,668,,,
2020-05-13,Airport,155,34807.0,2.0,0,,,
2020-05-13,Returnee,15,829.0,15.0,0,,,
2020-05-14,Domestic,15908,196816.0,10321.0,687,,,
2020-05-14,Airport,156,35499.0,2.0,0,,,
2020-05-14,Returnee,15,829.0,15.0,0,,,
2020-05-15,Domestic,16022,194323.0,10792.0,710,,,
2020-05-15,Airport,156,35730.0,2.0,0,,,
2020-05-15,Returnee,15,829.0,15.0,0,,,
2020-05-16,Domestic,16066,203284.0,11136.0,725,,,
2020-05-16,Airport,156,36255.0,2.0,0,,,
2020-05-16,Returnee,15,829.0,15.0,0,,,
2020-05-17,Domestic,16112,206790.0,11398.0,744,,,
2020-05-17,Airport,158,36833.0,2.0,0,,,
2020-05-17,Returnee,15,829.0,15.0,0,,,
2020-05-18,Domestic,16132,211832.0,11547.0,749,,,
2020-05-18,Airport,158,37490.0,2.0,0,,,
2020-05-18,Returnee,15,829.0,15.0,0,,,
2020-05-19,Domestic,16192,216624.0,11867.0,763,,,
2020-05-19,Airport,158,38222.0,2.0,0,,,
2020-05-19,Returnee,15,829.0,15.0,0,,,
2020-05-20,Domestic,16212,218744.0,12269.0,771,,,
2020-05-20,Airport,158,38704.0,2.0,0,,,
2020-05-20,Returnee,15,829.0,15.0,0,,,
2020-05-21,Domestic,16251,221397.0,12655.0,777,,,
2020-05-21,Airport,158,39346.0,2.0,0,,,
2020-05-21,Returnee,15,829.0,15.0,0,,,
2020-05-22,Domestic,16339,224972.0,12988.0,796,,,
2020-05-22,Airport,159,39701.0,2.0,0,,,
2020-05-22,Returnee,15,829.0,15.0,0,,,
2020-05-23,Domestic,16362,227445.0,13227.0,808,,,
2020-05-23,Airport,159,40203.0,2.0,0,,,
2020-05-23,Returnee,15,829.0,15.0,0,,,
2020-05-24,Domestic,16375,229669.0,13396.0,820,,,
2020-05-24,Airport,160,40703.0,151.0,0,,,
2020-05-24,Returnee,15,829.0,15.0,0,,,
2020-05-25,Domestic,16404,230562.0,13446.0,830,,,
2020-05-25,Airport,162,41297.0,151.0,0,,,
2020-05-25,Returnee,15,829.0,15.0,0,,,
2020-05-26,Domestic,16445,233399.0,13643.0,846,,,
2020-05-26,Airport,163,41942.0,152.0,0,,,
2020-05-26,Returnee,15,829.0,15.0,0,,,
2020-05-27,Domestic,16469,235422.0,13806.0,858,,,
2020-05-27,Airport,167,42391.0,152.0,0,,,
2020-05-27,Returnee,15,829.0,15.0,0,,,
2020-05-28,Domestic,16498,237367.0,13979.0,867,,,
2020-05-28,Airport,170,43097.0,153.0,0,,,
2020-05-28,Returnee,15,829.0,15.0,0,,,
2020-05-29,Domestic,16532,240334.0,14085.0,874,,,
2020-05-29,Airport,172,43600.0,154.0,0,,,
2020-05-29,Returnee,15,829.0,15.0,0,,,
2020-05-30,Domestic,16607,242734.0,14237.0,886,,,
2020-05-30,Airport,182,44191.0,154.0,0,,,
2020-05-30,Returnee,15,829.0,15.0,0,,,
2020-05-31,Domestic,16650,244824.0,14290.0,891,,,
2020-05-31,Airport,186,44783.0,154.0,0,,,
2020-05-31,Returnee,15,829.0,15.0,0,,,
2020-06-01,Domestic,16679,246100.0,14333.0,892,,,
2020-06-01,Airport,190,45640.0,154.0,0,,,
2020-06-01,Returnee,15,829.0,15.0,0,,,
2020-06-02,Domestic,16724,248662.0,14481.0,894,,,
2020-06-02,Airport,191,46892.0,154.0,0,,,
2020-06-02,Returnee,15,829.0,15.0,0,,,
2020-06-03,Domestic,16779,251808.0,14602.0,900,,,
2020-06-03,Airport,192,47640.0,154.0,0,,,
2020-06-03,Returnee,15,829.0,15.0,0,,,
2020-06-04,Domestic,16807,254229.0,14690.0,903,,,
2020-06-04,Airport,196,48575.0,162.0,0,,,
2020-06-04,Returnee,15,829.0,15.0,0,,,
2020-06-05,Domestic,16850,257330.0,14795.0,907,,,
2020-06-05,Airport,199,49303.0,162.0,0,,,
2020-06-05,Returnee,15,829.0,15.0,0,,,
2020-06-06,Domestic,16886,260551.0,14901.0,914,,,
2020-06-06,Airport,202,50067.0,163.0,0,,,
2020-06-06,Returnee,15,829.0,15.0,0,,,
2020-06-07,Domestic,16923,262642.0,14961.0,916,,,
2020-06-07,Airport,203,51012.0,163.0,0,,,
2020-06-07,Returnee,15,829.0,15.0,0,,,
2020-06-08,Domestic,16950,263962.0,14970.0,916,,,
2020-06-08,Airport,209,52057.0,163.0,0,,,
2020-06-08,Returnee,15,829.0,15.0,0,,,
2020-06-09,Domestic,16986,267069.0,15035.0,916,,,
2020-06-09,Airport,209,53155.0,163.0,0,,,
2020-06-09,Returnee,15,829.0,15.0,0,,,
2020-06-10,Domestic,17012,269976.0,15120.0,919,,,
2020-06-10,Airport,224,53870.0,163.0,0,,,
2020-06-10,Returnee,15,829.0,15.0,0,,,
2020-06-11,Domestic,17051,273204.0,15200.0,920,,,
2020-06-11,Airport,226,54697.0,168.0,0,,,
2020-06-11,Returnee,15,829.0,15.0,0,,,
