ISO code,Date,Daily change in cumulative total,Cumulative total
AFG,2022-01-29,,853003.0
AFG,2022-01-30,,
AFG,2022-01-31,,
AFG,2022-02-01,,
AFG,2022-02-02,,
AFG,2022-02-03,,
AFG,2022-02-04,,
AFG,2022-02-05,,
AFG,2022-02-06,,
AFG,2022-02-07,,
AFG,2022-02-08,,
AFG,2022-02-09,,
AFG,2022-02-10,,
AFG,2022-02-11,,
AFG,2022-02-12,,
AFG,2022-02-13,,
AFG,2022-02-14,,
AFG,2022-02-15,,
AFG,2022-02-16,,
AFG,2022-02-17,,
AFG,2022-02-18,,
AFG,2022-02-19,,
AFG,2022-02-20,,
AFG,2022-02-21,,
AFG,2022-02-22,,
AFG,2022-02-23,,
AFG,2022-02-24,,
AFG,2022-02-25,,
AFG,2022-02-26,,889430.0
AFG,2022-02-27,,
AFG,2022-02-28,,
AFG,2022-03-01,,
AFG,2022-03-02,,
AFG,2022-03-03,,
AFG,2022-03-04,,
AFG,2022-03-05,,
AFG,2022-03-06,,
AFG,2022-03-07,,
AFG,2022-03-08,,
AFG,2022-03-09,,
AFG,2022-03-10,,
AFG,2022-03-11,,
AFG,2022-03-12,,904055.0
AFG,2022-03-13,,
AFG,2022-03-14,,
AFG,2022-03-15,,
AFG,2022-03-16,,
AFG,2022-03-17,,
AFG,2022-03-18,,
AFG,2022-03-19,,
AFG,2022-03-20,,
AFG,2022-03-21,,
AFG,2022-03-22,,
AFG,2022-03-23,,
AFG,2022-03-24,,
AFG,2022-03-25,,
AFG,2022-03-26,,
AFG,2022-03-27,,
AFG,2022-03-28,,
AFG,2022-03-29,,
AFG,2022-03-30,,
AFG,2022-03-31,,
AFG,2022-04-01,,
AFG,2022-04-02,,
AFG,2022-04-03,,
AFG,2022-04-04,,
AFG,2022-04-05,,
AFG,2022-04-06,,
AFG,2022-04-07,,
AFG,2022-04-08,,
AFG,2022-04-09,,
AFG,2022-04-10,,
AFG,2022-04-11,,
AFG,2022-04-12,,
AFG,2022-04-13,,
AFG,2022-04-14,,
AFG,2022-04-15,,
AFG,2022-04-16,,
AFG,2022-04-17,,
AFG,2022-04-18,,
